95,69,90,81
89,84,79,91
78,98,77,105
77,121,72,141
73,142,89,171
92,169,113,182
118,181,142,179
145,178,167,172
170,172,178,153
179,147,173,106
173,98,166,80
161,76,155,54
153,53,140,36
143,32,119,30
118,31,112,39
111,44,99,58
99,58,96,67
3,196,249,195
249,195,250,2
250,2,6,5
6,5,4,191
19,9,38,22
41,23,61,32
64,34,90,43
90,43,91,63
158,54,160,39
163,36,183,29
184,28,197,23
202,22,214,16
213,16,230,7
118,69,139,69
139,69,150,66
150,66,143,60
141,61,135,61
132,59,124,59
120,63,113,67
131,129,128,82
107,103,118,104
140,104,151,103
140,108,151,111
152,112,161,107
96,110,105,113
105,112,118,111
94,124,98,147
98,147,125,150
128,149,159,143
162,140,162,127
78,108,79,119
