103,75,102,85
102,85,96,96
94,95,93,112
93,132,95,144
95,144,113,171
113,171,133,175
137,176,155,172
155,172,174,156
174,156,184,124
184,124,179,96
179,96,172,72
172,72,162,49
162,49,143,32
143,32,128,28
128,28,111,44
111,44,104,66
104,66,102,73
3,196,249,195
249,195,250,2
250,2,6,5
6,5,4,191
31,7,49,23
49,23,75,38
75,38,96,46
96,46,105,60
165,44,175,36
175,38,196,34
196,34,207,31
207,31,214,16
213,16,212,7
123,65,139,69
139,69,150,66
150,66,145,50
145,50,135,47
135,47,123,51
123,51,121,66
136,126,135,76
113,100,126,102
151,100,162,100
146,108,160,114
160,114,170,110
108,112,120,116
120,116,128,111
108,124,119,145
119,145,145,152
145,152,162,139
162,139,172,122
94,114,95,132
